Sample,Country,Farm,distance,AMBI,IQI,EQ
Ak_0,NOR,AK,0,5.97,0.18,5
Ak_630,NOR,AK,630,2.41,0.74,2
Ak_1530,NOR,AK,1530,1.3,0.85,2
Bj_0,NOR,BJ,0,4.45,0.46,4
Bj_38,NOR,BJ,38,5.1,0.39,4
Bj_100,NOR,BJ,100,3.88,0.54,3
Bj_280,NOR,BJ,289,1.79,0.8,2
Bv_0,NOR,BV,0,5.98,0.25,5
Bv_75,NOR,BV,75,5.97,0.27,5
Bv_150,NOR,BV,150,5.84,0.17,5
Bv_430,NOR,BV,430,2.29,0.74,2
Bv_1110,NOR,BV,1110,2.3,0.71,2
DUN19_Nov_REF,SCO,DUN,,2.04,,2
DUN19_Feb_CE,SCO,DUN,,5.97,,5
DUN19_Feb_REF,SCO,DUN,,2.3,,2
DUN_Fr_AZE_RepA,SCO,DUN,,1.94,,2
DUN_Fr_AZE_RepB,SCO,DUN,,1.94,,2
DUN_Fr_CE_RepA,SCO,DUN,,2.91,,2
DUN_Fr_CE_RepB,SCO,DUN,,2.91,,2
DUN_Fr_REF_RepA,SCO,DUN,,1.25,,2
DUN_Fr_REF_RepB,SCO,DUN,,1.25,,2
DUN19_Mar_CE,SCO,DUN,,5.94,,5
DUN19_Mar_REF,SCO,DUN,,2.31,,2
FIS_25,SCO,FIS,25,5.86,0.17,5
FIS_47,SCO,FIS,47,5.29,0.31,4
FIS_50,SCO,FIS,50,5.35,0.33,4
HJ_0,NOR,HJ,0,5.88,0.14,5
HJ_50,NOR,HJ,50,5.98,0.1,5
HJ_243,NOR,HJ,243,5.86,0.13,5
HJ_304,NOR,HJ,304,5.74,0.16,5
HJ_488,NOR,HJ,488,2.26,0.68,2
HJ_588,NOR,HJ,588,2.1,0.73,2
KA_0,NOR,KA,0,5.89,0.14,5
KA_179,NOR,KA,179,5.98,0.09,5
KA_290,NOR,KA,290,2.59,0.61,2
KA_428,NOR,KA,428,2.65,0.7,2
KA_504,NOR,KA,504,2.54,0.64,2
KIN_0,SCO,KIN,0,6,0.19,5
KIN_27,SCO,KIN,27,5.23,0.32,4
KIN_60,SCO,KIN,60,5.99,0.12,5
LIS_Fr_AZE_RepA,SCO,LIS,109,2.3,0.73,2
LIS_Fr_AZE_RepB,SCO,LIS,109,2.16,0.74,2
LIS_Fr_CE_RepA,SCO,LIS,0,5.7,0.19,5
LIS_Fr_CE_RepB,SCO,LIS,0,5.85,0.15,5
LIS_Fr_REF_RepA,SCO,LIS,1000,1.32,0.83,2
LIS_Fr_REF_RepB,SCO,LIS,1000,1.65,0.81,2
MAN_0,SCO,MAN,0,5.96,0.28,5
MAN_25S,SCO,MAN,25,3.16,0.61,2
MAN_50N,SCO,MAN,50,3.08,0.67,2
MAN_50S,SCO,MAN,50,2.76,0.6,2
MAN_75S,SCO,MAN,75,1.23,0.86,2
Nk_0,NOR,NK,0,4.98,0.38,4
Nk_34,NOR,NK,34,4.17,0.53,3
Nk_140,NOR,NK,140,3.19,0.67,2
Nk_640,NOR,NK,640,2.57,0.65,2
Nk_1330,NOR,NK,1330,2.46,0.69,2
SCA_0,SCO,SCA,0,5.87,0.28,5
SCA_47,SCO,SCA,47,5.67,0.33,5
SCA_57,SCO,SCA,57,2.3,0.75,2
SCA_75,SCO,SCA,75,3.31,0.48,3
St_0,NOR,ST,0,5.98,0.25,5
St_68,NOR,ST,68,4.7,0.42,4
St_300,NOR,ST,300,2.4,0.68,2
St_610,NOR,ST,610,2.03,,2
St_900,NOR,ST,900,1.96,,2
DUN_CE_1,SCO,DUN,0,1.9,,2
CRE_AZE,SCO,CRE,,2.47,,2
CRE_REF,SCO,CRE,,2.09,,2
DUN_AZE_1,SCO,DUN,,0.73,,1
DUN_REF_1,SCO,DUN,,1.23,,2
DUN_CE_2,SCO,DUN,0,2.91,,2
DUN_AZE_2,SCO,DUN,,1.94,,2
DUN_REF_2,SCO,DUN,,1.25,,2
DUN_CE_3,SCO,DUN,0,2.6,,2
DUN_AZE_3,SCO,DUN,,0.5,,1
DUN_REF_3,SCO,DUN,,1.11,,1
